CustomerID,recency_days,frequency_orders,monetary_revenue,frequency_orders_c,monetary_revenue_c,recency_days_c,R,F,M,RFM,segment
12346.0,326,1,77183.6,1,19880.99570000001,326.0,1,1,5,115,At Risk (High Value)
12347.0,3,7,4310.0,7,4310.0,3.0,5,5,5,555,Champions
12348.0,76,4,1797.24,4,1797.24,76.0,2,4,4,244,At Risk (High Frequency)
12349.0,19,1,1757.55,1,1757.55,19.0,4,1,4,414,Others
12350.0,311,1,334.4,1,334.4,311.0,1,1,2,112,Hibernating
12352.0,37,8,2506.04,8,2506.04,37.0,3,5,5,355,Others
12353.0,205,1,89.0,1,89.0,205.0,1,1,1,111,Hibernating
12354.0,233,1,1079.4,1,1079.4,233.0,1,1,4,114,At Risk (High Value)
12355.0,215,1,459.4,1,459.4,215.0,1,1,2,112,Hibernating
12356.0,23,3,2811.43,3,2811.43,23.0,4,3,5,435,Loyal Customers
12357.0,34,1,6207.67,1,6207.67,34.0,3,1,5,315,Potential Loyalists
12358.0,2,2,1168.06,2,1168.06,2.0,5,2,4,524,New Customers
12359.0,58,4,6372.58,4,6372.58,58.0,3,4,5,345,Others
12360.0,53,3,2662.06,3,2662.06,53.0,3,3,5,335,Others
12361.0,288,1,189.9,1,189.9,288.0,1,1,1,111,Hibernating
12362.0,4,10,5226.23,10,5226.23,4.0,5,5,5,555,Champions
12363.0,110,2,552.0,2,552.0,110.0,2,2,3,223,Others
12364.0,8,4,1313.1,4,1313.1,8.0,5,4,4,544,Champions
12365.0,292,2,641.38,2,641.38,292.0,1,2,3,123,Others
12367.0,5,1,168.9,1,168.9,5.0,5,1,1,511,New Customers
12370.0,52,4,3545.69,4,3545.69,52.0,3,4,5,345,Others
12371.0,45,2,1887.96,2,1887.96,45.0,3,2,4,324,Potential Loyalists
12372.0,72,3,1298.04,3,1298.04,72.0,3,3,4,334,Others
12373.0,312,1,364.6,1,364.6,312.0,1,1,2,112,Hibernating
12374.0,26,1,742.93,1,742.93,26.0,4,1,3,413,Others
12375.0,11,2,457.5,2,457.5,11.0,5,2,2,522,New Customers
12377.0,316,2,1628.12,2,1628.12,316.0,1,2,4,124,At Risk (High Value)
12378.0,130,1,4008.62,1,4008.62,130.0,2,1,5,215,At Risk (High Value)
12379.0,82,2,852.24,2,852.24,82.0,2,2,3,223,Others
12380.0,22,4,2724.81,4,2724.81,22.0,4,4,5,445,Champions
12381.0,5,5,1845.31,5,1845.31,5.0,5,4,4,544,Champions
12383.0,185,5,1850.56,5,1850.56,185.0,1,4,4,144,At Risk (High Frequency)
12384.0,29,2,585.27,2,585.27,29.0,4,2,3,423,Others
12386.0,338,2,401.9,2,401.9,338.0,1,2,2,122,Hibernating
12388.0,16,6,2780.66,6,2780.66,16.0,4,4,5,445,Champions
12390.0,80,1,549.84,1,549.84,80.0,2,1,3,213,Others
12391.0,22,1,460.89,1,460.89,22.0,4,1,2,412,Others
12393.0,73,4,1582.6,4,1582.6,73.0,2,4,4,244,At Risk (High Frequency)
12394.0,64,2,1272.48,2,1272.48,64.0,3,2,4,324,Potential Loyalists
12395.0,20,12,3018.63,12,3018.63,20.0,4,5,5,455,Champions
12397.0,36,2,2409.9,2,2409.9,36.0,3,2,5,325,Potential Loyalists
12398.0,46,1,1635.66,1,1635.66,46.0,3,1,4,314,Potential Loyalists
12399.0,120,4,1108.65,4,1108.65,120.0,2,4,4,244,At Risk (High Frequency)
12401.0,304,1,84.3,1,84.3,304.0,1,1,1,111,Hibernating
12402.0,324,1,225.6,1,225.6,324.0,1,1,1,111,Hibernating
12403.0,50,1,427.7,1,427.7,50.0,3,1,2,312,Potential Loyalists
12405.0,149,1,1710.39,1,1710.39,149.0,2,1,4,214,At Risk (High Value)
12406.0,23,2,3415.3,2,3415.3,23.0,4,2,5,425,Others
12407.0,50,5,1708.12,5,1708.12,50.0,3,4,4,344,Others
12408.0,33,5,2888.55,5,2888.55,33.0,4,4,5,445,Champions
12409.0,79,3,11072.67,3,11072.67,79.0,2,3,5,235,At Risk (High Value)
12410.0,309,2,693.33,2,693.33,309.0,1,2,3,123,Others
12412.0,75,3,1226.88,3,1226.88,75.0,2,3,4,234,At Risk (High Value)
12413.0,67,3,758.1,3,758.1,67.0,3,3,3,333,Others
12414.0,218,3,562.41,3,562.41,218.0,1,3,3,133,Others
12415.0,25,21,124914.53,21,19880.99570000001,25.0,4,5,5,455,Champions
12417.0,4,9,3649.1,9,3649.1,4.0,5,5,5,555,Champions
12418.0,113,1,668.58,1,668.58,113.0,2,1,3,213,Others
12420.0,64,1,600.39,1,600.39,64.0,3,1,3,313,Potential Loyalists
12421.0,16,4,807.04,4,807.04,16.0,4,4,3,443,Loyal Customers
12422.0,96,3,803.56,3,803.56,96.0,2,3,3,233,Others
12423.0,1,8,1859.31,8,1859.31,1.0,5,5,4,554,Champions
12424.0,163,2,1760.96,2,1760.96,163.0,2,2,4,224,At Risk (High Value)
12425.0,79,1,777.2,1,777.2,79.0,2,1,3,213,Others
12426.0,195,1,582.73,1,582.73,195.0,1,1,3,113,Others
12427.0,22,3,825.8,3,825.8,22.0,4,3,3,433,Loyal Customers
12428.0,26,9,7956.46,9,7956.46,26.0,4,5,5,455,Champions
12429.0,10,4,3750.4,4,3750.4,10.0,5,4,5,545,Champions
12430.0,44,1,256.4,1,256.4,44.0,3,1,2,312,Potential Loyalists
12431.0,36,15,6487.45,15,6487.45,36.0,3,5,5,355,Others
12432.0,43,5,5059.32,5,5059.32,43.0,3,4,5,345,Others
12433.0,1,7,13375.87,7,13375.87,1.0,5,5,5,555,Champions
12434.0,85,2,806.14,2,806.14,85.0,2,2,3,223,Others
